sample_id,current,ton,toff,cycles,agno3,kno3,pvp,citrate,particle_size,uniformity,dispersion,overgrowth,power,pressure,sputter_time,distance,ptfe_thickness,ptfe_uniformity,film_quality,current_density,electrolyte_type,electrolyte_conc,stability,fe_co
S0001,8.116262258099887,0.1772457124414429,1.518943759898755,142,0.032003037486910954,0.6663772726803582,4.21162752374967,0.02338969314722035,30.6330347830901,78.62333192434731,68.63745693957088,1.4010287243688169,33.684471122455285,0.5590446778760757,433.4919962848251,5.846378622849887,30.491162024618696,58.778428774921075,74.75217373215142,327.5258507150331,KOH,1.1793420014974851,93.55523398444458,84.39077839476192
S0002,19.063571821788408,0.28580443564163904,0.05892796375301501,157,0.08006073396589238,0.5528982158336975,1.866205781896169,0.021088622768078814,68.95440788095408,61.163324582510725,46.70846394964469,9.889936298687195,94.44876606136962,1.3771812607737133,456.31648124750785,6.9256863924426195,39.76276420339589,50.57027989114959,71.75366448894822,54.099474746990744,KHCO3,2.0510426127144115,55.97971343277945,71.70518904191617
S0003,14.907884894416696,0.18524037943397936,0.05402586754270454,286,0.0968078318332355,0.8804625636979208,3.159943401980945,0.08571916570595887,56.81305555149651,71.12367985164067,57.26028337215923,15.083127023858463,85.07551562827884,0.4738416775761457,142.25208784129603,4.598862730972071,18.69886000454801,61.61464344102895,68.38842613583482,399.20998029811005,H2O,2.7812536370915275,70.25994177833932,67.6756500103937
S0004,12.374511199743695,0.09781550841948505,0.6539843361075871,241,0.08583051967143432,0.6788242910307573,0.47685801136529316,0.08204268202590201,57.4607728172877,67.9623150288929,55.237360933984284,14.259920224731989,131.22655622982325,1.801740547208036,473.0584782282719,8.75547808715393,46.546660444040405,45.612671662498045,73.8412176431556,342.76324399075554,H2O,2.4677457722363316,67.62588953034347,59.311132863368506
S0005,3.964354168406294,0.1294295123895948,0.9823999489052848,323,0.012646754827773193,0.5514936188576742,0.5183929036713825,0.044057352801230736,31.410065883297694,77.7420448650898,68.39314713219498,7.141038957533786,88.99037466925778,0.3006369524496678,504.2939995673755,5.069215942529549,45.09310196868443,55.19549132930096,77.31379118163586,145.68113721357827,KHCO3,0.9711304314839163,86.13015807550904,81.29249244612328
S0006,3.96389588638785,0.4661709803523985,1.5431107614375086,424,0.07423330287646852,0.8314654890847685,0.24328831830856656,0.01324046134964546,42.38574645597376,72.98025029834045,72.76014212318852,11.82061081244806,53.180216464756846,1.4424446243373712,235.92184139141406,7.937538836276773,21.080628905582493,56.30986748780441,58.76196136722132,218.63791227924216,K2CO3,1.3584742145008066,78.726298877075,82.33639148546776
S0007,2.1035886311957896,0.21427038122173458,1.3697577994469454,375,0.03264701641161393,0.6100850992841449,2.905075466875547,0.03822522519774584,22.697450145211366,82.02728015334324,74.59746091328522,6.72064748018661,107.8337283024355,1.0491425324441128,151.61694877879359,6.592510192456864,30.333472739844503,55.08182165682367,68.24484547363906,53.51301252000062,KOH,0.34046081006710427,98.78105470119515,96.59447479459719
S0008,17.457346769723767,0.3706271624375947,0.8973463856897292,237,0.09885318295179558,0.2982328053073272,2.1303548881304852,0.06193434541369114,68.52807068949008,61.17596223500814,51.98280178794857,15.876823274092345,90.53480882962542,1.752866168554288,249.4788871460615,7.101283223469298,23.105491197065767,51.86965652296766,66.33845370570971,362.1577167370423,KOH,0.3962997368031842,47.904593576926636,63.377693349244936
S0009,12.421185223120967,0.5083830981463083,0.5545170659005151,148,0.04905053933282883,0.21502396899480553,2.7401617833212004,0.04544031544799529,55.035649537547926,73.5161814144643,58.349984340961214,5.182119913072434,50.29580167469342,0.33977067294984953,451.57654233007815,4.25726117179112,37.0139637403288,59.68555150722945,71.84632238198625,195.20066187937365,KOH,1.463668122296274,82.4961184202922,76.36770511821115
S0010,14.453378978124864,0.6934908803430716,1.994277755313845,445,0.01312095593753516,0.16080450780605202,2.6053659525419395,0.0780189268482995,60.260950719359606,71.18816585139841,55.91210444832977,14.105334337228115,94.57162153257802,1.3880003451425669,268.0542333451606,8.145162387247193,29.508391797261112,54.00332510500373,69.1309491928087,307.21501188352363,H2O,1.6376362797695905,67.27794053534078,69.2104613716712
S0011,1.3911053916202465,0.04891901844268795,0.8581007914495862,408,0.07279336925471169,0.9004606604206405,1.7510149554536514,0.09976228222513855,25.47378764771352,77.55105297364452,73.88068691460049,6.113811035161024,126.79962512565919,1.1869038144446247,449.89156887812914,4.3203436332984175,51.1517958777197,52.210765168747685,82.58930561694973,480.5274325615083,K2CO3,0.8656785775210505,78.55224341121531,83.37282282240537
S0012,19.428287191077892,0.8014162949199523,0.9082601784160542,220,0.03297810864023517,0.7130340774800852,3.3873670741173645,0.019113208844889686,72.28997684609925,64.71372984319541,48.932993304631616,15.291501486162069,23.714219304121357,1.012171270256088,94.73178835719646,3.7943154633920737,9.618293264340972,66.2624355833875,60.34507985960092,184.76002082641324,KOH,1.9640697986392297,57.24966350026196,70.54555063347863
S0013,16.816410175208013,0.6316213855959987,0.33561140417142166,400,0.09971073755108452,0.9380046537826775,3.7925094045819536,0.04596508196595725,69.04918247013804,63.34240711989801,54.289104135088515,15.311970661621439,102.01063502386452,1.03367380052207,489.4266749784361,6.826756499221508,45.847551797863474,48.96236696953419,79.2478385000086,495.6070478392932,KOH,2.1398039881823996,56.045900353479325,65.29292905253598
S0014,5.034443102887247,0.09094144162938318,1.5916710020123594,37,0.09799846332759768,0.6072588876577936,0.07314129438837857,0.043098390192082205,26.8289092321316,79.63884331483004,70.91166953393456,5.172742392740542,65.44607545197097,1.4717562274172085,174.3282645361437,7.965079958423657,20.6081432046093,57.52345102621905,60.67512766787191,334.72777370340486,KOH,0.9674367816746773,94.00472806574712,83.26747393470751
